
Date: 2025-05-19 08:58:08s, Time_Cost: 2246s, Epoch: [43/100], Val_PSNR:36.95, Val_SSIM:0.9772, Lr:0.0004
Date: 2025-05-19 09:35:23s, Time_Cost: 2235s, Epoch: [44/100], Val_PSNR:36.93, Val_SSIM:0.9770, Lr:0.0004
Date: 2025-05-19 10:12:48s, Time_Cost: 2245s, Epoch: [45/100], Val_PSNR:37.03, Val_SSIM:0.9775, Lr:0.0004
Date: 2025-05-19 10:50:19s, Time_Cost: 2251s, Epoch: [46/100], Val_PSNR:37.02, Val_SSIM:0.9776, Lr:0.0004
Date: 2025-05-19 11:27:29s, Time_Cost: 2230s, Epoch: [47/100], Val_PSNR:37.06, Val_SSIM:0.9778, Lr:0.0004
Date: 2025-05-19 12:04:50s, Time_Cost: 2241s, Epoch: [48/100], Val_PSNR:37.03, Val_SSIM:0.9775, Lr:0.0004
Date: 2025-05-19 12:42:04s, Time_Cost: 2233s, Epoch: [49/100], Val_PSNR:37.07, Val_SSIM:0.9775, Lr:0.0004
Date: 2025-05-19 13:19:21s, Time_Cost: 2238s, Epoch: [50/100], Val_PSNR:37.08, Val_SSIM:0.9778, Lr:0.0004
Date: 2025-05-19 13:56:31s, Time_Cost: 2229s, Epoch: [51/100], Val_PSNR:37.02, Val_SSIM:0.9775, Lr:0.0004
Date: 2025-05-19 14:33:50s, Time_Cost: 2239s, Epoch: [52/100], Val_PSNR:37.08, Val_SSIM:0.9777, Lr:0.0004
Date: 2025-05-19 15:10:53s, Time_Cost: 2223s, Epoch: [53/100], Val_PSNR:37.02, Val_SSIM:0.9775, Lr:0.0004
Date: 2025-05-19 15:48:14s, Time_Cost: 2241s, Epoch: [54/100], Val_PSNR:37.05, Val_SSIM:0.9776, Lr:0.0004
Date: 2025-05-19 16:25:11s, Time_Cost: 2218s, Epoch: [55/100], Val_PSNR:37.06, Val_SSIM:0.9778, Lr:0.0004
Date: 2025-05-19 17:02:12s, Time_Cost: 2221s, Epoch: [56/100], Val_PSNR:37.06, Val_SSIM:0.9776, Lr:0.0004
Date: 2025-05-19 17:39:12s, Time_Cost: 2220s, Epoch: [57/100], Val_PSNR:37.11, Val_SSIM:0.9779, Lr:0.0004
Date: 2025-05-19 18:16:17s, Time_Cost: 2225s, Epoch: [58/100], Val_PSNR:37.04, Val_SSIM:0.9776, Lr:0.0004
Date: 2025-05-19 18:53:17s, Time_Cost: 2220s, Epoch: [59/100], Val_PSNR:37.07, Val_SSIM:0.9776, Lr:0.0004
Date: 2025-05-19 19:30:17s, Time_Cost: 2220s, Epoch: [60/100], Val_PSNR:37.20, Val_SSIM:0.9780, Lr:0.0002
Date: 2025-05-19 20:07:12s, Time_Cost: 2215s, Epoch: [61/100], Val_PSNR:37.15, Val_SSIM:0.9780, Lr:0.0002
Date: 2025-05-19 20:44:11s, Time_Cost: 2219s, Epoch: [62/100], Val_PSNR:37.26, Val_SSIM:0.9784, Lr:0.0002
Date: 2025-05-19 21:21:48s, Time_Cost: 2257s, Epoch: [63/100], Val_PSNR:37.22, Val_SSIM:0.9780, Lr:0.0002
Date: 2025-05-19 21:59:04s, Time_Cost: 2236s, Epoch: [64/100], Val_PSNR:37.22, Val_SSIM:0.9782, Lr:0.0002
Date: 2025-05-19 22:36:36s, Time_Cost: 2252s, Epoch: [65/100], Val_PSNR:37.18, Val_SSIM:0.9778, Lr:0.0002
Date: 2025-05-19 23:13:51s, Time_Cost: 2235s, Epoch: [66/100], Val_PSNR:37.26, Val_SSIM:0.9783, Lr:0.0002
Date: 2025-05-19 23:51:22s, Time_Cost: 2251s, Epoch: [67/100], Val_PSNR:37.23, Val_SSIM:0.9780, Lr:0.0002
Date: 2025-05-20 00:28:32s, Time_Cost: 2230s, Epoch: [68/100], Val_PSNR:37.24, Val_SSIM:0.9781, Lr:0.0002
Date: 2025-05-20 01:06:04s, Time_Cost: 2252s, Epoch: [69/100], Val_PSNR:37.24, Val_SSIM:0.9780, Lr:0.0002
Date: 2025-05-20 01:43:11s, Time_Cost: 2227s, Epoch: [70/100], Val_PSNR:37.23, Val_SSIM:0.9782, Lr:0.0002
Date: 2025-05-20 02:20:43s, Time_Cost: 2251s, Epoch: [71/100], Val_PSNR:37.22, Val_SSIM:0.9782, Lr:0.0002
Date: 2025-05-20 02:57:51s, Time_Cost: 2229s, Epoch: [72/100], Val_PSNR:37.27, Val_SSIM:0.9784, Lr:0.0002
Date: 2025-05-20 03:35:16s, Time_Cost: 2245s, Epoch: [73/100], Val_PSNR:37.24, Val_SSIM:0.9783, Lr:0.0002
Date: 2025-05-20 04:12:27s, Time_Cost: 2231s, Epoch: [74/100], Val_PSNR:37.23, Val_SSIM:0.9783, Lr:0.0002
Date: 2025-05-20 04:49:46s, Time_Cost: 2240s, Epoch: [75/100], Val_PSNR:37.30, Val_SSIM:0.9787, Lr:0.0001
Date: 2025-05-20 05:27:02s, Time_Cost: 2235s, Epoch: [76/100], Val_PSNR:37.27, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 06:04:16s, Time_Cost: 2235s, Epoch: [77/100], Val_PSNR:37.33, Val_SSIM:0.9787, Lr:0.0001
Date: 2025-05-20 06:41:27s, Time_Cost: 2231s, Epoch: [78/100], Val_PSNR:37.29, Val_SSIM:0.9785, Lr:0.0001
Date: 2025-05-20 07:18:45s, Time_Cost: 2238s, Epoch: [79/100], Val_PSNR:37.31, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 07:56:01s, Time_Cost: 2236s, Epoch: [80/100], Val_PSNR:37.32, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 08:33:20s, Time_Cost: 2239s, Epoch: [81/100], Val_PSNR:37.27, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 09:10:42s, Time_Cost: 2242s, Epoch: [82/100], Val_PSNR:37.33, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 09:47:56s, Time_Cost: 2234s, Epoch: [83/100], Val_PSNR:37.29, Val_SSIM:0.9785, Lr:0.0001
Date: 2025-05-20 10:25:21s, Time_Cost: 2244s, Epoch: [84/100], Val_PSNR:37.31, Val_SSIM:0.9786, Lr:0.0001
Date: 2025-05-20 11:02:37s, Time_Cost: 2236s, Epoch: [85/100], Val_PSNR:37.33, Val_SSIM:0.9786, Lr:2e-05
Date: 2025-05-20 11:40:03s, Time_Cost: 2246s, Epoch: [86/100], Val_PSNR:37.35, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 12:17:17s, Time_Cost: 2234s, Epoch: [87/100], Val_PSNR:37.35, Val_SSIM:0.9786, Lr:2e-05
Date: 2025-05-20 12:54:54s, Time_Cost: 2257s, Epoch: [88/100], Val_PSNR:37.36, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 13:32:06s, Time_Cost: 2232s, Epoch: [89/100], Val_PSNR:37.38, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 14:10:00s, Time_Cost: 2275s, Epoch: [90/100], Val_PSNR:37.35, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 14:47:33s, Time_Cost: 2252s, Epoch: [91/100], Val_PSNR:37.35, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 15:25:19s, Time_Cost: 2267s, Epoch: [92/100], Val_PSNR:37.36, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 16:03:13s, Time_Cost: 2274s, Epoch: [93/100], Val_PSNR:37.37, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 16:40:41s, Time_Cost: 2248s, Epoch: [94/100], Val_PSNR:37.36, Val_SSIM:0.9787, Lr:2e-05
Date: 2025-05-20 17:18:04s, Time_Cost: 2243s, Epoch: [95/100], Val_PSNR:37.36, Val_SSIM:0.9787, Lr:4e-06
Date: 2025-05-20 17:55:15s, Time_Cost: 2230s, Epoch: [96/100], Val_PSNR:37.37, Val_SSIM:0.9787, Lr:4e-06
Date: 2025-05-20 18:32:42s, Time_Cost: 2247s, Epoch: [97/100], Val_PSNR:37.37, Val_SSIM:0.9787, Lr:4e-06
Date: 2025-05-20 19:09:56s, Time_Cost: 2234s, Epoch: [98/100], Val_PSNR:37.38, Val_SSIM:0.9787, Lr:4e-06
Date: 2025-05-20 19:47:16s, Time_Cost: 2240s, Epoch: [99/100], Val_PSNR:37.37, Val_SSIM:0.9787, Lr:4e-06
